X,Y,Concentrations,Migration_front,Vx,Vy
5.0,5.0,0.0,0.0,4.5924254968025736e-18,0.024999999999999998
5.0,15.0,0.0,0.0,-0.005705029831794643,0.024999999999999998
5.0,25.0,0.0,0.0,-0.005952751983793593,0.024999999999999998
5.0,35.0,0.0,0.0,-0.006210430524212496,0.024999999999999998
5.0,45.0,0.0,0.0,-0.0064777901901640605,0.024999999999999998
5.0,55.0,0.0,0.0,-0.0067543779032833715,0.024999999999999998
5.0,65.0,0.0,0.0,-0.00703953153598725,0.024999999999999998
5.0,75.0,0.0,0.0,-0.0073323472277593916,0.024999999999999998
5.0,85.0,0.0,0.0,-0.007631646460038719,0.024999999999999998
5.0,95.0,0.0,0.0,-0.007935944587768402,0.024999999999999998
5.0,105.0,0.0,0.0,-0.00824342306935194,0.024999999999999998
5.0,115.0,0.0,0.0,-0.00855190819387904,0.024999999999999998
5.0,125.0,0.0,0.0,-0.00885885960962623,0.024999999999999998
5.0,135.0,0.0,0.0,-0.00916137231891399,0.024999999999999998
5.0,145.0,0.0,0.0,-0.009456195905551107,0.024999999999999998
5.0,155.0,0.0,0.0,-0.009739774473358184,0.024999999999999998
5.0,165.0,0.0,0.0,-0.01000830997598604,0.024999999999999998
5.0,175.0,0.0,0.0,-0.010257850225564503,0.024999999999999998
5.0,185.0,0.0,0.0,-0.010484400871712046,0.024999999999999998
5.0,195.0,0.0,0.0,-0.010684058145327809,0.024999999999999998
5.0,205.0,0.0,0.0,-0.010853156399772924,0.024999999999999998
5.0,215.0,0.0,0.0,-0.010988421822086687,0.024999999999999998
5.0,225.0,0.0,0.0,-0.011087121583482238,0.024999999999999998
5.0,235.0,0.0,0.0,-0.011147196612900872,0.024999999999999998
5.0,245.0,0.0,0.0,-0.011167366469738706,0.024999999999999998
5.0,255.0,0.0,0.0,-0.011147196612900872,0.024999999999999998
5.0,265.0,0.0,0.0,-0.011087121583482238,0.024999999999999998
5.0,275.0,0.0,0.0,-0.010988421822086687,0.024999999999999998
5.0,285.0,0.0,0.0,-0.010853156399772924,0.024999999999999998
5.0,295.0,0.0,0.0,-0.010684058145327809,0.024999999999999998
5.0,305.0,0.0,0.0,-0.010484400871712046,0.024999999999999998
5.0,315.0,0.0,0.0,-0.010257850225564503,0.024999999999999998
5.0,325.0,0.0,0.0,-0.01000830997598604,0.024999999999999998
5.0,335.0,0.0,0.0,-0.009739774473358184,0.024999999999999998
5.0,345.0,0.0,0.0,-0.009456195905551107,0.024999999999999998
5.0,355.0,0.0,0.0,-0.00916137231891399,0.024999999999999998
5.0,365.0,0.0,0.0,-0.00885885960962623,0.024999999999999998
5.0,375.0,0.0,0.0,-0.00855190819387904,0.024999999999999998
5.0,385.0,0.0,0.0,-0.00824342306935194,0.024999999999999998
15.0,5.0,0.0,0.0,4.5924254968025736e-18,0.01929497016820535
15.0,15.0,0.0,0.0,-0.0057050298317946726,0.01929497016820532
15.0,25.0,0.0,0.0,-0.005964262051553551,0.01930648023596534
15.0,35.0,0.0,0.0,-0.006234978939942675,0.019331028651695517
15.0,45.0,0.0,0.0,-0.006517022380602889,0.019370260842134317
15.0,55.0,0.0,0.0,-0.006810046920042404,0.019425929858893378
15.0,65.0,0.0,0.0,-0.007113481861193561,0.01949988018409969
15.0,75.0,0.0,0.0,-0.007426490422022929,0.01959402337836317
15.0,85.0,0.0,0.0,-0.007747927158850567,0.01971030407717505
15.0,95.0,0.0,0.0,-0.00807629548496226,0.019850654974368963
15.0,105.0,0.0,0.0,-0.008409707857160185,0.020016939762177152
15.0,115.0,0.0,0.0,-0.008745852016415442,0.020210883584713596
15.0,125.0,0.0,0.0,-0.009081967478544171,0.020433991453631437
15.0,135.0,0.0,0.0,-0.009414837158868365,0.020687456293585857
15.0,145.0,6.365679681321241e-144,0.0,-0.00974079941906107,0.020972059807095787
15.0,155.0,6.660015701346093e-135,0.0,-0.010055785748022508,0.02128807108176017
15.0,165.0,5.63422235248977e-127,0.0,-0.010355388525282502,0.02163514963105663
15.0,175.0,1.021647071628941e-119,0.0,-0.010634961692604224,0.022012261098096366
15.0,185.0,5.930027744633097e-113,0.0,-0.010889754598498363,0.022417614824882682
15.0,195.0,1.269926136081522e-106,0.0,-0.011115075862232515,0.022848632541787397
15.0,205.0,1.0684491062332434e-100,0.0,-0.011306480121930312,0.0233019562639448
15.0,215.0,3.476376546554981e-95,0.0,-0.011459966504748212,0.02377350094660625
15.0,225.0,4.091907713259048e-90,0.0,-0.011572174281817001,0.024258553644941016
15.0,235.0,5.522574586768209e-86,0.0,-0.011640559196987641,0.024751916229027764
15.0,245.0,9.46617860125022e-84,0.0,-0.011663534011683086,0.02524808377097223
15.0,255.0,3.811980529782901e-84,0.0,-0.011640559196987641,0.02574144635505898
15.0,265.0,3.0444008444453272e-86,0.0,-0.011572174281817001,0.026226499053393745
15.0,275.0,2.199830981917792e-90,0.0,-0.011459966504748212,0.026698043736055197
15.0,285.0,2.488520059139406e-94,0.0,-0.011306480121930312,0.0271513674582126
15.0,295.0,3.9325394644569393e-98,0.0,-0.011115075862232515,0.027582385175117314
15.0,305.0,5.9464332067097946e-102,0.0,-0.010889754598498363,0.02798773890190363
15.0,315.0,7.774923499865607e-106,0.0,-0.010634961692604224,0.028364850368943366
15.0,325.0,8.796652725917941e-110,0.0,-0.010355388525282502,0.028711928918239826
15.0,335.0,8.745950769455486e-114,0.0,-0.010055785748022508,0.02902794019290421
15.0,345.0,7.753361086226117e-118,0.0,-0.00974079941906107,0.02931254370641414
15.0,355.0,6.202830230973741e-122,0.0,-0.009414837158868365,0.02956600854636856
15.0,365.0,4.5223504148719785e-126,0.0,-0.009081967478544171,0.0297891164152864
15.0,375.0,3.0290920640762924e-130,0.0,-0.008745852016415442,0.029983060237822844
15.0,385.0,0.0,0.0,-0.008409707857160185,0.030149345025631033
25.0,5.0,0.0,0.0,4.5924254968025736e-18,0.0190472480162064
25.0,15.0,0.0,0.0,-0.005693519764034656,0.019035737948446443
25.0,25.0,0.0,0.0,-0.00596426205155358,0.019035737948446416
25.0,35.0,0.0,0.0,-0.006248169683230586,0.019048928691734354
25.0,45.0,0.0,0.0,-0.006545236015699288,0.019077142326830783
25.0,55.0,0.0,0.0,-0.006855261238938452,0.01912235664572677
25.0,65.0,0.0,0.0,-0.007177807124183277,0.019186681908716516
25.0,75.0,0.0,0.0,-0.007512146846443899,0.019272338333137486
25.0,85.0,0.0,0.0,-0.007857210944921766,0.019381622119208658
25.0,95.0,0.0,0.0,-0.00821153126894148,0.019516857903187905
25.0,105.0,0.0,0.0,-0.008573185735524088,0.01968033578155181
25.0,115.0,0.0,0.0,-0.008939747868535922,0.019874231633672287
25.0,125.0,0.0,0.0,-0.009308246321321845,0.02010051047644996
25.0,135.0,0.0,0.0,-0.009675140763236749,0.02036081408081833
25.0,145.0,1.4323696758634243e-138,0.0,-0.010036321418688772,0.020656336080446105
25.0,155.0,1.366590569563607e-129,0.0,-0.01038713989606453,0.020987690228488023
25.0,165.0,1.0587205767324351e-121,0.0,-0.010722478398186552,0.021354780101392135
25.0,175.0,1.7685202737713724e-114,0.0,-0.011036862643213425,0.021756681052001275
25.0,185.0,9.52573863428062e-108,0.0,-0.011324620627493587,0.022191547080996514
25.0,195.0,1.9097044736643928e-101,0.0,-0.011580084732466338,0.02265655595123036
